scope,object_type,object_name,row_count,runtime_refs,scripts_refs,tests_refs,status,recommended_action,risk,notes
table,table,crm_journey_enrollments,0,0,0,0,REMOVED_2026-02-24,done,low,dropped via migration 20260224154000
table,table,crm_journey_runs,0,0,0,0,REMOVED_2026-02-24,done,low,dropped via migration 20260224154000
table,table,refund_policy_versions,0,0,1,0,REMOVED_2026-02-24,done,low,dropped via migration 20260224154000
table,table,padel_partnership_tournament_requests,0,0,0,0,KEPT_ACTIVE,keep,medium,feature routes still active (503 fallback if missing)
table,table,ticket_order_lines,0,0,0,0,REMOVED_2026-02-24,done,low,dropped via migration 20260224162000
table,table,ticket_orders,0,0,0,3,REMOVED_2026-02-24,done,low,dropped via migration 20260224162000
table,table,store_order_bundle_items,0,0,2,0,KEPT_ACTIVE,keep,low,runtime checkout writes nested bundle items
table,table,chat_conversation_attachments,0,0,2,0,KEPT_ACTIVE,keep,low,runtime chat endpoints read/write attachments relation
table,table,store_order_addresses,40,0,2,0,KEPT_ACTIVE,keep,low,runtime checkout/invoice/lookup depend on addresses relation
column_group,column,padel_pairings.*,251,109,0,25,CLOSED_DEV_SAFE,keep_monitor_release,medium,review concluida em dev-safe: sem drops de colunas nesta fase
column_group,column,bookings.*,158,92,2,18,CLOSED_DEV_SAFE,keep_active_no_ddl,low,review concluida: bookings ja tem writes reais em 2026-02-24 (7/8 campos antes always-null)
column_group,column,profiles.*,124,242,0,38,CLOSED_DEV_SAFE,keep_active_plus_watchlist,medium,review concluida: manter campos ativos e monitorizar deleted_at_final/location_source
column_group,column,outbox_events.*,431,29,3,19,CLOSED_DEV_SAFE,keep_monitor_release,medium,review concluida em dev-safe: sem drops enquanto dominio financeiro evolui
column_group,column,operations.*,424,27,0,9,CLOSED_DEV_SAFE,keep_monitor_release,medium,review concluida em dev-safe: sem drops nesta fase
column_group,column,padel_tournament_configs.*,22,50,0,33,CLOSED_DEV_SAFE,keep_monitor_release,medium,review concluida em dev-safe: sem drops nesta fase
route,runtime,app/api/me/route.ts,n/a,n/a,n/a,n/a,HARDENED,done,low,removed supabase profiles fallback
route,runtime,app/api/public/profile/route.ts,n/a,n/a,n/a,n/a,HARDENED,done,low,removed supabase profiles fallback
route,runtime,app/api/public/profile/events/route.ts,n/a,n/a,n/a,n/a,HARDENED,done,low,removed supabase profiles fallback
route,runtime,app/api/cron/repair-usernames/route.ts,n/a,n/a,n/a,n/a,RESIDUAL,keep_temporarily,medium,only remaining runtime supabase profiles lookup
column,column,padel_tournament_participants.seed_rank,452,19,0,5,WATCHLIST_DEV,monitor_no_ddl,low,always null but no safe drop signal in dev phase
column,column,tickets.rotating_seed,136,45,0,7,WATCHLIST_DEV,monitor_no_ddl,low,always null and zero explicit code signal
column,column,profiles.deleted_at_final,124,242,0,38,WATCHLIST_DEV,monitor_no_ddl,medium,deletion flow not writing this marker yet
column,column,padel_rounds.duration_seconds,20,2,0,0,WATCHLIST_DEV,monitor_no_ddl,low,not used by current round timer flow
column,column,profiles.location_source,124,242,0,38,WATCHLIST_DEV,monitor_no_ddl,medium,coluna no schema mas sem uso explicito de profile.locationSource no runtime atual
