table,column,total_rows,not_null_rows,status,index_dependency,runtime_evidence,decision_notes,key_references
bookings,confirmation_snapshot,161,7,KEEP_DEV_ACTIVE,none,snapshot de preço/política na confirmação e reschedule,já com dados reais em dev e essencial para consistência financeira,lib/reservas/confirmBooking.ts;lib/operations/fulfillServiceBooking.ts;app/api/me/reservas/[id]/reschedule/respond/route.ts
bookings,confirmation_snapshot_created_at,161,7,KEEP_DEV_ACTIVE,none,timestamp canónico do snapshot usado em confirmação e recomputes,"par com confirmation_snapshot, necessário para auditoria temporal",lib/reservas/confirmBooking.ts;lib/operations/fulfillServiceBooking.ts;app/api/me/reservas/[id]/reschedule/respond/route.ts
bookings,confirmation_snapshot_version,161,7,KEEP_DEV_ACTIVE,none,controlo de versão do snapshot em confirmação/reschedule,evita ambiguidades de cálculo quando há evolução de payload,lib/reservas/confirmBooking.ts;lib/operations/fulfillServiceBooking.ts;app/api/me/reservas/[id]/reschedule/respond/route.ts
bookings,guest_email,161,7,KEEP_DEV_ACTIVE,bookings_guest_email_idx,ownership de reservas guest e ingest de consentimento CRM,campo core para fluxo guest sem autenticação,app/api/servicos/[id]/reservar/route.ts;app/api/servicos/[id]/checkout/route.ts;app/api/me/reservas/[id]/route.ts
bookings,guest_name,161,7,KEEP_DEV_ACTIVE,none,persistência de identificação guest no checkout/notifications,usado para contexto operacional e comunicação,app/api/servicos/[id]/reservar/route.ts;app/api/servicos/[id]/checkout/route.ts;domain/notifications/email.ts
bookings,guest_phone,161,7,KEEP_DEV_ACTIVE,none,consentimento SMS/contacto de guest,necessário para canais de contacto alternativos,app/api/servicos/[id]/reservar/route.ts;app/api/servicos/[id]/checkout/route.ts
bookings,payment_intent_id,161,7,KEEP_DEV_ACTIVE,bookings_payment_intent_id_key,ligação a Stripe intents para checkout/cancel/refund,"chave técnica de pagamentos, não removível",app/api/servicos/[id]/checkout/route.ts;app/api/me/reservas/[id]/cancel/route.ts;lib/reservas/bookingRefund.ts
bookings,pending_expires_at,161,0,KEEP_DEV_ACTIVE,bookings_pending_expires_idx,"hold expiry em booking, calendário e limpeza cron",pode estar null em dados atuais mas é central para expiração de reservas,app/api/servicos/[id]/reservar/route.ts;app/api/servicos/[id]/calendario/route.ts;app/api/cron/bookings/cleanup/route.ts
profiles,bio,124,0,KEEP_DEV_ACTIVE,none,render e edição no perfil público/privado,campo de UX ativo em múltiplas superfícies,app/api/profiles/save-basic/route.ts;app/api/public/profile/route.ts;app/components/profile/ProfileHeader.tsx
profiles,deleted_at,124,0,KEEP_DEV_ACTIVE,none,soft-delete de conta e visibilidade em admin,"apesar de null agora, existe fluxo explícito de escrita",app/api/me/settings/save/route.ts;app/api/admin/utilizadores/manage/route.ts;app/admin/(protected)/utilizadores/page.tsx
profiles,deleted_at_final,124,0,WATCHLIST_DEV,none,sem leitura/escrita explícita identificada,manter monitorização; sem DDL em desenvolvimento,prisma/schema.prisma
profiles,deletion_requested_at,124,0,KEEP_DEV_ACTIVE,none,marcação temporal de pedido de eliminação,parte do fluxo de privacidade/DSAR,app/api/me/settings/delete/route.ts;app/api/me/dsar/export/route.ts
profiles,deletion_scheduled_for,124,0,KEEP_DEV_ACTIVE,none,agendamento de eliminação com janela de retenção,necessário para execução temporal do delete,app/api/me/settings/delete/route.ts;app/api/me/dsar/export/route.ts
profiles,location_source,124,0,WATCHLIST_DEV,none,sem profile.locationSource explícito no runtime,monitorizar enquanto feature de localização evolui,prisma/schema.prisma
profiles,padel_club_name,124,0,KEEP_DEV_ACTIVE,none,onboarding e perfil padel,campo funcional no domínio padel,app/api/padel/onboarding/route.ts;domain/padel/playerProfile.ts;app/[username]/padel/page.tsx
