section_path,line_no,kind,text
ORYA — Padel (TO-BE) — Plano de Excelência,4068,heading,ORYA — Padel (TO-BE) — Plano de Excelência
ORYA — Padel (TO-BE) — Plano de Excelência,4070,paragraph,**Estrutura obrigatoria:** Ferramenta A (Padel Clube) / Ferramenta B (Padel Torneios) / Integracoes (contratos). Nao colocar infra de Reservas/Financas/CRM dentro de Padel.
ORYA — Padel (TO-BE) — Plano de Excelência,4073,paragraph,"**Regra de hierarquia (obrigatória):** este anexo é subordinado ao **ORYA — Blueprint Final v9 (SSOT)**. Em caso de conflito, vence o **v9**. O Padel define apenas domínio/UX; owners e contratos permanecem os do v9."
ORYA — Padel (TO-BE) — Plano de Excelência > 0) Objetivo e Princípios,4080,heading,0) Objetivo e Princípios
ORYA — Padel (TO-BE) — Plano de Excelência > 0) Objetivo e Princípios,4082,paragraph,"**Objetivo:** elevar o ecossistema ORYA de Padel ao nível das melhores plataformas globais (Padel Manager, Playtomic Manager, Tournament Software, PadelTeams), criando **duas ferramentas distintas e integradas**:"
ORYA — Padel (TO-BE) — Plano de Excelência > 0) Objetivo e Princípios,4083,bullet,**Gestão de Clube de Padel**
ORYA — Padel (TO-BE) — Plano de Excelência > 0) Objetivo e Princípios,4084,bullet,**Gestão de Torneios de Padel**
ORYA — Padel (TO-BE) — Plano de Excelência > 0) Objetivo e Princípios,4086,paragraph,**Princípios (TO-BE):**
ORYA — Padel (TO-BE) — Plano de Excelência > 0) Objetivo e Princípios,4087,bullet,"**Simples e automático:** defaults fortes, pouco atrito."
ORYA — Padel (TO-BE) — Plano de Excelência > 0) Objetivo e Princípios,4088,bullet,"**Operacional e robusto:** tudo funciona em tempo real, com logs e controlo."
ORYA — Padel (TO-BE) — Plano de Excelência > 0) Objetivo e Princípios,4089,bullet,**Experiência premium:** organizadores e jogadores com UX limpa e previsível.
ORYA — Padel (TO-BE) — Plano de Excelência > 0) Objetivo e Princípios,4090,bullet,"**Integração total:** clube, torneio, CRM, perfis e estatísticas em sintonia."
ORYA — Padel (TO-BE) — Plano de Excelência > 0) Objetivo e Princípios,4091,bullet,**SSOT v9:** Financas/Reservas/Check-in/CRM/RBAC/Address seguem o v9; Padel nunca duplica logica.
ORYA — Padel (TO-BE) — Plano de Excelência > 1) Base AS-IS (resumo),4095,heading,1) Base AS-IS (resumo)
ORYA — Padel (TO-BE) — Plano de Excelência > 1) Base AS-IS (resumo),4098,paragraph,**Estado atual relevante (resumo):**
ORYA — Padel (TO-BE) — Plano de Excelência > 1) Base AS-IS (resumo),4099,bullet,"Padel existe como preset de torneio, com Wizard e Hub Padel."
ORYA — Padel (TO-BE) — Plano de Excelência > 1) Base AS-IS (resumo),4100,bullet,"Há clubes, courts, staff, categorias, regras, matches, standings e live via SSE."
ORYA — Padel (TO-BE) — Plano de Excelência > 1) Base AS-IS (resumo),4101,bullet,Páginas públicas + widgets + exports existem.
ORYA — Padel (TO-BE) — Plano de Excelência > 1) Base AS-IS (resumo),4102,bullet,"Algumas areas-chave estão **parciais** (ex.: cancelamentos, check-in, acessibilidade)."
ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE),4106,heading,2) Ferramenta A — Gestão de Clube de Padel (TO-BE)
ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE) > 2.1 Reservas e Agenda Inteligente,4108,heading,2.1 Reservas e Agenda Inteligente
ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE) > 2.1 Reservas e Agenda Inteligente,4109,bullet,"**SSOT em Reservas (v9):** Padel consome a Agenda Engine via contrato, nao cria agenda propria."
ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE) > 2.1 Reservas e Agenda Inteligente,4110,bullet,**Pagamentos via Financas:** reservas chamam `createCheckout` (Financas); nenhum modulo cria intents Stripe.
ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE) > 2.1 Reservas e Agenda Inteligente,4111,bullet,Multi-clube e multi-court com agendas independentes.
ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE) > 2.1 Reservas e Agenda Inteligente,4112,bullet,"Otimização de ocupação (open matches, listas de espera) conforme regras de Reservas (Fase 2)."
ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE) > 2.1 Reservas e Agenda Inteligente,4113,bullet,Integração com torneios via **MatchSlot hard-block** e CalendarBlock (D3/D3.1).
ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE) > 2.1 Reservas e Agenda Inteligente,4114,bullet,"Agenda com visões dia/semana e drag & drop (UI), respeitando prioridades: HardBlock > MatchSlot > Booking > SoftBlock."
"ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE) > 2.2 Sócios, Jogadores e Comunicação",4116,heading,"2.2 Sócios, Jogadores e Comunicação"
"ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE) > 2.2 Sócios, Jogadores e Comunicação",4117,bullet,**CRM e Perfil unificado (owner: CRM/Perfil publico)** com tags/segmentos de Padel.
"ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE) > 2.2 Sócios, Jogadores e Comunicação",4118,bullet,"**Credits/loyalty** apenas via Servicos/Financas/CRM (Fase 2), sem carteira paralela em Padel."
"ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE) > 2.2 Sócios, Jogadores e Comunicação",4119,bullet,Planos e passes (assinaturas/pacotes) via Stripe Billing (Fase 2).
"ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE) > 2.2 Sócios, Jogadores e Comunicação",4120,bullet,"Comunicação via Notificações/Chat interno (owners core), com triggers a partir do EventLog."
"ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE) > 2.2 Sócios, Jogadores e Comunicação",4121,bullet,Matchmaking e comunidade (dominio Padel).
"ORYA — Padel (TO-BE) — Plano de Excelência > 2) Ferramenta A — Gestão de Clube de Padel (TO-BE) > 2.3 Aulas, Treinos e Academia",4123,heading,"2.3 Aulas, Treinos e Academia"
